"name","Rank","Platform","Year","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","appid","release_date","english","developer","publisher","platforms","required_age","categories","genres","steamspy_tags","achievements","positive_ratings","negative_ratings","average_playtime","median_playtime","owners","price","Total_ratings","Proportion_ratings_pos","Proportion_ratings_neg"
"expendable",13062,"PS","1999","Action","Infogrames",0.03,0.02,0,0,0.05,804000,"2018-02-27",1,"Rage Software","Funbox Media Ltd","windows",0,"Single-player;Multi-player;Co-op;Partial Controller Support","Action;Adventure","Action;Adventure;Classic",0,5,2,0,0,"0-20000","2.89",7,0.714285714285714,0.285714285714286
"f1 2011",2802,"X360","2011","Racing","Codemasters",0.11,0.51,0.01,0.09,0.73,44360,"2011-09-19",1,"Codemasters Birmingham","Codemasters","windows",0,"Single-player;Multi-player;Co-op","Racing;Simulation;Sports","Racing;Simulation;Sports",0,232,108,3,3,"100000-200000","9.99",340,0.682352941176471,0.317647058823529
"f1 2012",1933,"PS3","2012","Racing","Codemasters",0.12,0.64,0.05,0.25,1.07,208500,"2012-09-19",1,"Codemasters Birmingham","Codemasters","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Racing;Simulation;Sports","Racing;Simulation;Sports",49,1447,176,1623,2887,"200000-500000","14.99",1623,0.891558841651263,0.108441158348737
"f1 2014",4067,"PS3","2014","Racing","Codemasters",0.07,0.31,0.02,0.08,0.49,226580,"2014-10-16",1,"Codemasters","Codemasters","windows",0,"Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Racing;Sports","Racing;Sports;Simulation",49,1113,317,1508,1508,"100000-200000","19.99",1430,0.778321678321678,0.221678321678322
"f1 2015",3093,"PS4","2015","Racing","Codemasters",0.09,0.44,0.03,0.09,0.66,286570,"2015-07-09",1,"Codemasters;Feral Interactive (Linux)","Codemasters;Feral Interactive (Linux)","windows;linux",0,"Single-player;Multi-player;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards","Racing;Sports","Racing;Sports;Simulation",45,3834,2720,305,372,"2000000-5000000","29.99",6554,0.584986267927983,0.415013732072017
"f1 race stars",15068,"PC","2012","Racing","Codemasters",0,0.02,0,0,0.02,203680,"2012-11-15",1,"Codemasters Birmingham","Codemasters","windows",0,"Single-player;Multi-player;Co-op;Shared/Split Screen;Steam Achievements;Partial Controller Support;Steam Cloud","Racing","Racing;Arcade;Split Screen",64,689,215,42,61,"100000-200000","10.99",904,0.76216814159292,0.23783185840708
"fable the lost chapters",11946,"PC","2005","Role-Playing","Microsoft Game Studios",0.01,0.05,0,0.01,0.07,204030,"2011-12-19",1,"Lionhead Studios","Microsoft Studios","windows",0,"Single-player","Action;Adventure;RPG","RPG;Adventure;Action",0,4384,364,494,555,"500000-1000000","6.99",4748,0.923336141533277,0.0766638584667228
"fairy fencer f",7539,"PS3","2013","Role-Playing","Nippon Ichi Software",0.05,0.05,0.09,0.02,0.2,347830,"2015-08-04",1,"Idea Factory;Compile Heart","Idea Factory International","windows",0,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","RPG","Anime;JRPG;RPG",29,1997,208,229,229,"100000-200000","15.49",2205,0.905668934240363,0.0943310657596372
"fallout 3",2105,"PC","2008","Role-Playing","Bethesda Softworks",0.02,0.88,0,0.08,0.99,22300,"2008-10-28",1,"Bethesda Game Studios","Bethesda Softworks","windows",0,"Single-player;Partial Controller Support","RPG","Open World;Post-apocalyptic;RPG",0,9921,2709,588,617,"500000-1000000","7.99",12630,0.785510688836105,0.214489311163895
"fallout 4",1632,"PC","2015","Role-Playing","Bethesda Softworks",0.5,0.63,0,0.1,1.23,377160,"2015-11-09",1,"Bethesda Game Studios","Bethesda Softworks","windows",18,"Single-player;Steam Achievements;Full controller support;Steam Cloud","RPG","Open World;Post-apocalyptic;Exploration",84,110376,45377,4822,2904,"5000000-10000000","19.99",155753,0.708660507341753,0.291339492658247
"fallout new vegas",431,"PS3","2010","Role-Playing","Bethesda Softworks",1.52,1.08,0.1,0.47,3.17,22380,"2010-10-21",1,"Obsidian Entertainment","Bethesda Softworks","windows",18,"Single-player;Steam Achievements;Partial Controller Support;Steam Leaderboards","Action;RPG","Open World;RPG;Post-apocalyptic",75,66756,3149,2485,1431,"2000000-5000000","7.99",69905,0.954953150704528,0.0450468492954724
"far cry",13252,"PC","2004","Shooter","Ubisoft",0,0.04,0,0.01,0.05,13520,"2008-04-01",1,"Crytek Studios","Ubisoft","windows",0,"Single-player","Action","FPS;Action;Classic",0,3099,609,126,229,"500000-1000000","8.59",3708,0.835760517799353,0.164239482200647
"far cry 3",2108,"PC","2012","Shooter","Ubisoft",0.21,0.62,0,0.14,0.98,220240,"2012-11-28",1,"Ubisoft Montreal, Massive Entertainment, and Ubisoft Shanghai","Ubisoft","windows",0,"Single-player;Multi-player;Co-op;Partial Controller Support","Action;Adventure","Open World;FPS;Action",0,46331,5622,836,794,"2000000-5000000","16.99",51953,0.891786807306604,0.108213192693396
"far cry 4",1149,"XOne","2014","Shooter","Ubisoft",0.79,0.68,0.01,0.13,1.61,298110,"2014-12-01",1,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","Ubisoft","windows",0,"Single-player;Multi-player;Co-op;Partial Controller Support","Action;Adventure","Open World;Action;FPS",0,17082,4740,1062,977,"1000000-2000000","25.99",21822,0.782788012097883,0.217211987902117
"far cry primal",9252,"PC","2016","Action","Ubisoft",0.04,0.09,0,0.01,0.14,371660,"2016-02-29",1,"Ubisoft","Ubisoft","windows",18,"Single-player;Steam Trading Cards;Partial Controller Support","Action;Adventure","Open World;Survival;Action",0,8428,2633,949,923,"500000-1000000","41.99",11061,0.761956423469849,0.238043576530151
"farm frenzy",15824,"PC","2008","Strategy","Mumbo Jumbo",0.01,0,0,0,0.02,38120,"2010-02-15",1,"Alawar","iWin","windows",0,"Single-player","Casual","Casual;Agriculture",0,19,2,0,0,"0-20000","3.99",21,0.904761904761905,0.0952380952380952
"farm frenzy 3",14777,"DS","2011","Strategy","Unknown",0,0.02,0,0,0.03,38150,"2010-02-15",1,"Alawar","iWin","windows",0,"Single-player","Casual","Casual;Puzzle;Agriculture",0,7,1,0,0,"0-20000","6.99",8,0.875,0.125
"farming simulator 2011",9519,"PC","2010","Simulation","N/A",0,0.13,0,0,0.13,90200,"2010-10-29",1,"Giants Software","Giants Software","windows;mac",0,"Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Partial Controller Support","Simulation","Simulation;Agriculture;Multiplayer",12,338,68,0,0,"50000-100000","7.19",406,0.832512315270936,0.167487684729064
"fear",3656,"PS3","2007","Shooter","Vivendi Games",0.18,0.27,0,0.1,0.55,21090,"2010-05-21",1,"Monolith Productions, Inc.;Timegate","Warner Bros. Interactive Entertainment","windows",18,"Single-player","Action","Horror;FPS;Action",0,6371,438,389,498,"1000000-2000000","35.96",6809,0.935673373476281,0.0643266265237186
"fear 2 project origin",3804,"X360","2009","Shooter","Warner Bros. Interactive Entertainment",0.32,0.15,0,0.05,0.53,16450,"2009-02-12",1,"Monolith","Warner Bros. Interactive Entertainment","windows",0,"Single-player;Multi-player","Action","Horror;FPS;Action",0,3274,509,301,367,"1000000-2000000","9.99",3783,0.865450700502247,0.134549299497753
"fear 3",8727,"PC","2011","Shooter","Warner Bros. Interactive Entertainment",0.04,0.08,0,0.03,0.15,21100,"2011-06-21",1,"Day 1 Studios","Warner Bros. Interactive Entertainment","windows",18,"Single-player;Multi-player;Co-op;Steam Achievements;Partial Controller Support;Steam Cloud;Steam Leaderboards","Action","FPS;Horror;Co-op",50,5349,2030,310,298,"1000000-2000000","12.99",7379,0.724894972218458,0.275105027781542
"final doom",6401,"PS","1995","Shooter","GT Interactive",0.15,0.1,0,0.02,0.27,2290,"2007-08-03",1,"id Software","id Software","windows",0,"Single-player;Steam Cloud","Action","FPS;Action;Classic",0,573,82,120,114,"200000-500000","3.99",655,0.874809160305344,0.125190839694656
"final fantasy iii",390,"SNES","1994","Role-Playing","SquareSoft",0.86,0,2.55,0.02,3.42,239120,"2014-05-27",1,"Square Enix","Square Enix","windows",12,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","JRPG;RPG;Turn-Based",18,1029,250,138,138,"200000-500000","10.99",1279,0.80453479280688,0.19546520719312
"final fantasy iv",5786,"PS","1997","Simulation","SquareSoft",0,0,0.29,0.02,0.31,312750,"2014-09-17",1,"Square Enix;DotEmu SAS.","Square Enix","windows",12,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","RPG;JRPG;Fantasy",58,877,183,1818,1818,"100000-200000","10.99",1060,0.827358490566038,0.172641509433962
"final fantasy ix",174,"PS","2000","Role-Playing","SquareSoft",1.62,0.77,2.78,0.14,5.3,377840,"2016-04-14",1,"Square Enix","Square Enix","windows",12,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","JRPG;Great Soundtrack;Story Rich",85,3875,325,1911,3665,"200000-500000","15.99",4200,0.922619047619048,0.0773809523809524
"final fantasy v",8386,"PS","1998","Role-Playing","SquareSoft",0,0,0.16,0.01,0.17,382890,"2015-09-24",1,"Square Enix","Square Enix","windows",12,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","RPG;JRPG;Class-Based",96,489,198,0,0,"100000-200000","10.99",687,0.7117903930131,0.2882096069869
"final fantasy vi",11455,"PS","1999","Role-Playing","Sony Computer Entertainment",0,0,0.08,0.01,0.08,382900,"2015-12-16",1,"Square Enix","Square Enix","windows",12,"Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud","RPG","RPG;JRPG;Story Rich",28,884,259,0,0,"100000-200000","10.99",1143,0.773403324584427,0.226596675415573
"final fantasy vii",67,"PS","1997","Role-Playing","Sony Computer Entertainment",3.01,2.47,3.28,0.96,9.72,39140,"2013-07-04",1,"Square Enix","Square Enix","windows",12,"Single-player;Steam Achievements;Partial Controller Support","RPG","JRPG;RPG;Classic",36,11722,878,2443,2805,"1000000-2000000","9.99",12600,0.93031746031746,0.0696825396825397
"final fantasy viii",88,"PS","1999","Role-Playing","SquareSoft",2.28,1.72,3.63,0.23,7.86,39150,"2013-12-05",1,"Square Enix","Square Enix","windows",16,"Single-player;Steam Achievements;Partial Controller Support;Steam Cloud","RPG","JRPG;RPG;Classic",45,5323,682,2145,2470,"500000-1000000","9.99",6005,0.886427976686095,0.113572023313905
"final fantasy xiii",170,"PS3","2009","Role-Playing","Square Enix",1.74,1.24,1.87,0.52,5.36,292120,"2014-10-09",1,"Square Enix","Square Enix","windows",16,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","JRPG;Linear;RPG",35,7016,2769,1497,1797,"500000-1000000","10.99",9785,0.717015840572304,0.282984159427695
"final fantasy xiii2",2770,"X360","2011","Role-Playing","Square Enix",0.36,0.3,0.02,0.06,0.74,292140,"2014-12-11",1,"Square Enix","Square Enix","windows",16,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","JRPG;RPG;Fantasy",31,1843,1199,713,1409,"200000-500000","12.99",3042,0.605851413543721,0.394148586456279
"final fantasy xx2 hd remaster",2877,"PS4","2015","Role-Playing","Square Enix",0.29,0.25,0.06,0.11,0.71,359870,"2016-05-12",1,"Square Enix","Square Enix","windows",12,"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud","RPG","JRPG;Story Rich;RPG",69,6334,723,596,682,"500000-1000000","19.99",7057,0.897548533371121,0.102451466628879
"fish tycoon",6432,"DS","2007","Simulation","Majesco Entertainment",0.24,0,0,0.02,0.27,16130,"2008-05-12",1,"Last Day of Work","Last Day of Work","windows",0,"Single-player","Casual;Simulation","Casual;Simulation;Management",0,35,8,0,0,"0-20000","5.99",43,0.813953488372093,0.186046511627907
